subj_id,sex,age,rank,     trial,ordre_block,   session,react_time,   picture,success,type_picture,stim,expe_pic,Bared teeth,rank_2,pic-control,control_Stroop
Adele,         F,3,B,11,2,3,46.6748,11,1,Neutral,pic,0,0,M,-3634.3912,3634.3912
Adele,         F,3,B,12,2,3,3500.9849,10,1,Neutral,pic,0,0,M,-180.0811,180.0811
Adele,         F,3,B,15,3,3,7719.5439,9,1,Neutral,pic,0,0,M,4038.4779,-4038.4779
Adele,         F,3,B,16,3,3,1210.8057,12,1,Neutral,pic,0,0,M,-2470.2603,2470.2603
Adele,         F,3,B,17,3,3,1264.706,11,1,Neutral,pic,0,0,M,-2416.36,2416.36
Adele,         F,3,B,18,3,3,1588.9974,10,1,Neutral,pic,0,0,M,-2092.0686,2092.0686
Adele,         F,3,B,21,4,3,1539.7161,3,1,Object,pic,0,0,M,-2141.3499,2141.3499
Adele,         F,3,B,22,4,3,2610.0303,2,1,Object,pic,0,0,M,-1071.0357,1071.0357
Adele,         F,3,B,23,4,3,8089.0053,1,1,Object,pic,0,0,M,4407.9393,-4407.9393
Adele,         F,3,B,24,4,3,2102.0884,4,1,Object,pic,0,0,M,-1578.9776,1578.9776
Adele,         F,3,B,27,5,3,137.451,4,1,Object,pic,0,0,M,-3543.615,3543.615
Adele,         F,3,B,28,5,3,2835.6373,1,1,Object,pic,0,0,M,-845.4287,845.4287
Adele,         F,3,B,29,5,3,2827.2437,2,1,Object,pic,0,0,M,-853.8223,853.8223
Adele,         F,3,B,30,5,3,1283.6906,3,1,Object,pic,0,0,M,-2397.3754,2397.3754
Adele,         F,3,B,33,6,3,2912.5389,6,1,Threat,pic,0,0,M,-768.5271,768.5271
Adele,         F,3,B,34,6,3,979.4388,8,1,Threat,pic,0,0,M,-2701.6272,2701.6272
Adele,         F,3,B,35,6,3,661.0089,7,1,Threat,pic,0,0,M,-3020.0571,3020.0571
Adele,         F,3,B,36,6,3,623.2486,5,1,Threat,pic,0,0,M,-3057.8174,3057.8174
Aqua,         F,3,B,1,1,0,946.7546,0,1,None,None,0,0,B,-4318.9374,4318.9374
Aqua,         F,3,B,2,1,0,25328.1094,0,0,None,None,0,0,B,20062.4174,-20062.4174
Aqua,         F,3,B,3,1,0,2464.0216,0,1,None,None,0,0,B,-2801.6704,2801.6704
Aqua,         F,3,B,4,1,0,13281.3335,0,1,None,None,0,0,B,8015.6415,-8015.6415
Aqua,         F,3,B,5,1,0,2923.55,0,1,None,None,0,0,B,-2342.142,2342.142
Aqua,         F,3,B,6,1,0,1403.6855,0,1,None,None,0,0,B,-3862.0065,3862.0065
Aqua,         F,3,B,7,1,0,2903.4018,0,1,None,None,0,0,B,-2362.2902,2362.2902
Aqua,         F,3,B,8,1,0,2339.9511,0,1,None,None,0,0,B,-2925.7409,2925.7409
Aqua,         F,3,B,9,1,0,1361.8558,0,1,None,None,0,0,B,-3903.8362,3903.8362
Aqua,         F,3,B,10,1,0,5296.9913,0,1,None,None,0,0,B,31.2993,-31.2993
Aqua,         F,3,B,1,1,1,4961.6999,0,1,None,None,0,0,B,-303.9921,303.9921
Aqua,         F,3,B,2,1,1,5255.5503,0,1,None,None,0,0,B,-10.1417,10.1417
Aqua,         F,3,B,7,2,1,2281.6664,0,1,None,None,0,0,B,-2984.0256,2984.0256
Aqua,         F,3,B,8,2,1,64.2421,0,1,None,None,0,0,B,-5201.4499,5201.4499
Aqua,         F,3,B,13,3,1,15789.3014,0,1,None,None,0,0,B,10523.6094,-10523.6094
Aqua,         F,3,B,14,3,1,7949.9056,0,1,None,None,0,0,B,2684.2136,-2684.2136
Aqua,         F,3,B,19,4,1,2140.8562,0,1,None,None,0,0,B,-3124.8358,3124.8358
Aqua,         F,3,B,20,4,1,858.3435,0,1,None,None,0,0,B,-4407.3485,4407.3485
Aqua,         F,3,B,25,5,1,11034.5855,0,1,None,None,0,0,B,5768.8935,-5768.8935
Aqua,         F,3,B,26,5,1,1507.9672,0,1,None,None,0,0,B,-3757.7248,3757.7248
Aqua,         F,3,B,31,6,1,9968.7605,0,1,None,None,0,0,B,4703.0685,-4703.0685
Aqua,         F,3,B,32,6,1,10439.4462,0,1,None,None,0,0,B,5173.7542,-5173.7542
Aqua,         F,3,B,3,1,1,587.1629,3,1,Object,pic,0,0,B,-4678.5291,4678.5291
Aqua,         F,3,B,4,1,1,83.1631,1,1,Object,pic,0,0,B,-5182.5289,5182.5289
Aqua,         F,3,B,5,1,1,1458.136,2,1,Object,pic,0,0,B,-3807.556,3807.556
Aqua,         F,3,B,6,1,1,991.3536,4,1,Object,pic,0,0,B,-4274.3384,4274.3384
Aqua,         F,3,B,9,2,1,5.3328,11,1,Neutral,pic,0,0,B,-5260.3592,5260.3592
Aqua,         F,3,B,10,2,1,8466.9702,12,1,Neutral,pic,0,0,B,3201.2782,-3201.2782
Aqua,         F,3,B,11,2,1,440.6292,10,1,Neutral,pic,0,0,B,-4825.0628,4825.0628
Aqua,         F,3,B,12,2,1,1310.6264,9,1,Neutral,pic,0,0,B,-3955.0656,3955.0656
Aqua,         F,3,B,15,3,1,19250.2162,4,1,Object,pic,0,0,B,13984.5242,-13984.5242
Aqua,         F,3,B,16,3,1,7429.1422,1,1,Object,pic,0,0,B,2163.4502,-2163.4502
Aqua,         F,3,B,17,3,1,12070.3974,2,1,Object,pic,0,0,B,6804.7054,-6804.7054
Aqua,         F,3,B,18,3,1,5406.8818,3,1,Object,pic,0,0,B,141.1898,-141.1898
Aqua,         F,3,B,21,4,1,15165.2971,7,1,Threat,pic,0,0,B,9899.6051,-9899.6051
Aqua,         F,3,B,22,4,1,29052.7399,8,1,Threat,pic,0,0,B,23787.0479,-23787.0479
Aqua,         F,3,B,23,4,1,5325.4776,6,1,Threat,pic,0,0,B,59.7856,-59.7856
Aqua,         F,3,B,24,4,1,2573.8775,5,1,Threat,pic,0,0,B,-2691.8145,2691.8145
Aqua,         F,3,B,27,5,1,5543.8978,10,1,Neutral,pic,0,0,B,278.2058,-278.2058
Aqua,         F,3,B,28,5,1,13689.3416,11,1,Neutral,pic,0,0,B,8423.6496,-8423.6496
Aqua,         F,3,B,29,5,1,2190.9698,9,1,Neutral,pic,0,0,B,-3074.7222,3074.7222
Aqua,         F,3,B,30,5,1,4638.9233,12,1,Neutral,pic,0,0,B,-626.7687,626.7687
Aqua,         F,3,B,33,6,1,1631.3831,8,1,Threat,pic,0,0,B,-3634.3089,3634.3089
Aqua,         F,3,B,34,6,1,81.2619,6,1,Threat,pic,0,0,B,-5184.4301,5184.4301
Aqua,         F,3,B,35,6,1,14273.0365,7,1,Threat,pic,0,0,B,9007.3445,-9007.3445
Aqua,         F,3,B,36,6,1,4713.1332,5,1,Threat,pic,0,0,B,-552.5588,552.5588
Aqua,         F,3,B,1,1,2,3358.5765,0,1,None,None,0,0,B,-1907.1155,1907.1155
Aqua,         F,3,B,2,1,2,6871.6319,0,1,None,None,0,0,B,1605.9399,-1605.9399
Aqua,         F,3,B,7,2,2,1653.909,0,1,None,None,0,0,B,-3611.783,3611.783
Aqua,         F,3,B,8,2,2,1306.0127,0,1,None,None,0,0,B,-3959.6793,3959.6793
Aqua,         F,3,B,13,3,2,2603.5637,0,1,None,None,0,0,B,-2662.1283,2662.1283
Aqua,         F,3,B,14,3,2,245.9023,0,1,None,None,0,0,B,-5019.7897,5019.7897
